match_id,team_name,team_region,core_shots,core_goals,core_saves,core_assists,movement_total_distance,air_time,defense_time,offense_time,demo_inflicted,score,winner,event,event_split
6159ad6b143c37878b2384d9,RUST-EZE,Oceania,21.0,3.0,11.0,2.0,4510164.0,200.91,2184.24,1023.54,7.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384da,WILDCARD GAMING,Oceania,26.0,6.0,6.0,6.0,5166362.0,239.52,2050.32,1386.32,7.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384da,THE GROGANS,Oceania,13.0,3.0,14.0,2.0,5028209.0,191.23,2319.5,1132.41,12.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384db,BIG GOOSE,Oceania,33.0,5.0,18.0,5.0,6150425.0,234.99,2285.53,1767.55,12.0,1,False,Regional 1,Fall
6159ad6b143c37878b2384db,HMS ENDEAVOR,Oceania,29.0,7.0,21.0,4.0,5993182.0,173.34,2845.59,1214.31,14.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384dc,1620 KINGS,Oceania,49.0,13.0,15.0,10.0,7808373.0,312.82,3521.48,1931.52,11.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384dc,JOE,Oceania,34.0,13.0,27.0,10.0,7823075.0,351.33,3499.39,1965.42,15.0,2,False,Regional 1,Fall
6159ad6b143c37878b2384dd,RANGA ROUNDUP,Oceania,36.0,10.0,19.0,5.0,6802362.0,210.2,2918.13,1500.62,14.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384dd,TISI,Oceania,28.0,4.0,22.0,2.0,6405569.0,196.45,2944.77,1509.5,26.0,1,False,Regional 1,Fall
6159ad6b143c37878b2384de,WAZOOO,Oceania,30.0,8.0,13.0,6.0,4697674.0,170.46,2055.42,1193.1,11.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384de,PANIK GAMING,Oceania,22.0,5.0,18.0,4.0,4569027.0,182.44,2100.62,1147.88,10.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384e0,TRIDENT ESPORTS,Oceania,24.0,9.0,10.0,7.0,4074389.0,181.93,1901.23,1137.04,5.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384e0,BOUGEE'S ANGELS,Oceania,19.0,4.0,9.0,4.0,4532075.0,151.85,2014.02,1076.76,22.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384e1,RUST-EZE,Oceania,31.0,9.0,20.0,7.0,5885130.0,267.02,2553.57,1498.43,12.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384e1,SMASHA5000,Oceania,30.0,6.0,18.0,5.0,5901615.0,226.57,2623.15,1434.88,15.0,1,False,Regional 1,Fall
6159ad6b143c37878b2384e2,BIG GOOSE,Oceania,48.0,12.0,22.0,10.0,7637878.0,334.45,3342.33,1925.49,11.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384e2,1620 KINGS,Oceania,42.0,12.0,29.0,11.0,7629518.0,285.07,3449.03,1842.83,17.0,2,False,Regional 1,Fall
6159ad6b143c37878b2384e3,THE GROGANS,Oceania,40.0,11.0,23.0,10.0,7929485.0,315.24,3592.87,1862.09,19.0,2,False,Regional 1,Fall
